epoch;accuracy;auc;auc_1;binary_accuracy;loss;lr;precision;recall;val_accuracy;val_auc;val_auc_1;val_binary_accuracy;val_loss;val_precision;val_recall
10;0.5270136594772339;0.5408869981765747;0.5359148979187012;0.5270134806632996;0.0010053642326965928;1e-08;0.5270123481750488;0.5270121693611145;0.4921402037143707;0.48762720823287964;0.4871787130832672;0.4921402037143707;0.0012518891599029303;0.4921402931213379;0.4921402931213379
11;0.5286268591880798;0.541384220123291;0.5363513231277466;0.5286268591880798;0.0010053531732410192;1e-08;0.528623104095459;0.5286230444908142;0.4914426803588867;0.48862332105636597;0.48761600255966187;0.4914426803588867;0.0012522479519248009;0.4914427697658539;0.4914427697658539
12;0.5296475291252136;0.543904185295105;0.5391534566879272;0.5296475291252136;0.001004340243525803;1e-08;0.5296451449394226;0.5296451449394226;0.4916372001171112;0.4896700978279114;0.48810717463493347;0.49163442850112915;0.0012525885831564665;0.49163493514060974;0.49163222312927246
13;0.5317515134811401;0.5464164018630981;0.54115891456604;0.5317514538764954;0.0010036446619778872;1e-08;0.5317477583885193;0.5317476391792297;0.4924126863479614;0.4907970726490021;0.48886191844940186;0.4924126863479614;0.0012528053484857082;0.49241307377815247;0.49241307377815247
14;0.5334089994430542;0.5490782856941223;0.5434351563453674;0.5334089398384094;0.0010028054239228368;1e-08;0.5334082841873169;0.5334082245826721;0.49459630250930786;0.4933384954929352;0.49056145548820496;0.49459630250930786;0.0012527962680906057;0.49459677934646606;0.49459677934646606
15;0.5337673425674438;0.5500895380973816;0.5450745820999146;0.5337673425674438;0.0010022760834544897;1e-08;0.533763587474823;0.533763587474823;0.4955065846443176;0.4950536787509918;0.49175456166267395;0.4955065846443176;0.0012528307270258665;0.4955071210861206;0.4955071210861206
16;0.536060094833374;0.5530070066452026;0.5467479228973389;0.5360599160194397;0.0010016366140916944;1e-08;0.5360598564147949;0.536059558391571;0.4970918595790863;0.49666592478752136;0.492899626493454;0.4970918595790863;0.0012528960360214114;0.49709224700927734;0.49709224700927734
17;0.5354307889938354;0.5531642436981201;0.5478674173355103;0.5354307889938354;0.001001307857222855;1e-08;0.5354270339012146;0.5354270339012146;0.4964427053928375;0.49682939052581787;0.4929684102535248;0.4964427053928375;0.001253244816325605;0.4964430630207062;0.4964430630207062
18;0.536907434463501;0.5544873476028442;0.5487294793128967;0.5369073152542114;0.0010010648984462023;1e-08;0.5369084477424622;0.5369083881378174;0.49685001373291016;0.4962906241416931;0.4925888478755951;0.49685001373291016;0.0012537362053990364;0.4968503713607788;0.4968503713607788
19;0.5380149483680725;0.5562664866447449;0.5504711866378784;0.5380148887634277;0.0010004033101722598;1e-08;0.5380115509033203;0.5380115509033203;0.49674978852272034;0.49623316526412964;0.49250608682632446;0.49674978852272034;0.001254115137271583;0.4967501759529114;0.4967501759529114
0;0.5797846913337708;0.6134264469146729;0.6042619347572327;0.5797846913337708;0.0009791059419512749;0.001;0.5797845721244812;0.5797845721244812;0.4949493408203125;0.5072347521781921;0.5168625116348267;0.4949493408203125;0.0012632404686883092;0.49494925141334534;0.49494925141334534
1;0.5962370038032532;0.6374740600585938;0.6272376775741577;0.5962368249893188;0.0009650166612118483;0.001;0.596234917640686;0.5962346792221069;0.482454389333725;0.4893327057361603;0.504348635673523;0.482454389333725;0.0012829924235120416;0.48245516419410706;0.48245516419410706
2;0.5990797281265259;0.641125500202179;0.6310360431671143;0.5990797281265259;0.0009627517429180443;0.001;0.5990760922431946;0.5990760922431946;0.493053138256073;0.49613285064697266;0.5049425959587097;0.493053138256073;0.0012817084789276123;0.4930535852909088;0.4930535852909088
